split,head,threshold,support,count,precision,recall,f1,accuracy,balanced_accuracy,specificity,positive_rate,tp,fp,tn,fn,average_precision,roc_auc
val,approval,0.45,184,540,0.8268,0.8043,0.8154,0.8759,0.8586,0.9129,0.3315,148,31,325,36,0.861,0.912
val,destination,0.45,250,620,0.8235,0.84,0.8317,0.8629,0.8592,0.8784,0.4113,210,45,325,40,0.892,0.931
val,simulation,0.5,108,360,0.75,0.7222,0.7358,0.8444,0.8095,0.8968,0.2889,78,26,226,30,0.781,0.887
val,address_malicious,0.5,290,760,0.8435,0.8552,0.8493,0.8842,0.8787,0.9021,0.3868,248,46,424,42,0.905,0.939
val,failure_aux,0.5,420,880,0.8372,0.8571,0.8471,0.8523,0.8525,0.8478,0.4886,360,70,390,60,0.914,0.901
test,approval,0.45,182,540,0.7923,0.7967,0.7945,0.8611,0.8453,0.8939,0.3389,145,38,320,37,0.842,0.901
test,destination,0.45,248,620,0.7992,0.8185,0.8088,0.8452,0.8407,0.8629,0.4097,203,51,321,45,0.879,0.921
test,simulation,0.5,104,360,0.7059,0.6923,0.699,0.8278,0.7876,0.8828,0.2833,72,30,226,32,0.744,0.873
test,address_malicious,0.5,286,760,0.7742,0.8392,0.8054,0.8474,0.8457,0.8523,0.4079,240,70,404,46,0.881,0.918
test,failure_aux,0.5,418,880,0.815,0.8325,0.8237,0.8307,0.8308,0.829,0.4852,348,79,383,70,0.896,0.887
