split,metric,value
val,accuracy,0.7606
val,macro_f1,0.7127
val,weighted_f1,0.7628
val,low_precision,0.8824
val,low_recall,0.85
val,low_f1,0.8659
val,low_support,300.0
val,medium_precision,0.7314
val,medium_recall,0.7111
val,medium_f1,0.7211
val,medium_support,180.0
val,high_precision,0.5891
val,high_recall,0.6909
val,high_f1,0.636
val,high_support,110.0
val,critical_precision,0.6418
val,critical_recall,0.6143
val,critical_f1,0.6277
val,critical_support,70.0
test,accuracy,0.7422
test,macro_f1,0.6916
test,weighted_f1,0.7435
test,low_precision,0.8561
test,low_recall,0.85
test,low_f1,0.853
test,low_support,280.0
test,medium_precision,0.7303
test,medium_recall,0.6842
test,medium_f1,0.7065
test,medium_support,190.0
test,high_precision,0.5726
test,high_recall,0.6455
test,high_f1,0.6068
test,high_support,110.0
test,critical_precision,0.6
test,critical_recall,0.6
test,critical_f1,0.6
test,critical_support,60.0
